reading	word	pos	japanese_form
あいあみしゅわら	Iamishwara	noun	アイアミシュワラ
あいあむあすたー	I Am a Star	noun	アイアムアスター
あいあむいんびんしぶる	I Am Invincible	noun	アイアムインビンシブル
あいあむいんゔぃんしぶる	I Am Invincible	noun	アイアムインヴィンシブル
あいあむえきさいてっど	I Am Excited	noun	アイアムエキサイテッド
あいあんおーちゃーど	Iron Orchard	noun	アイアンオーチャード
あいあんとぶらっふぃんぐ	I Ain't Bluffing	noun	アイアントブラッフィング
あいうぃっしゅあいうぃん	I Wish I Win	noun	アイウィッシュアイウィン
あいうぉんとりべんじ	I Want Revenge	noun	アイウォントリベンジ
あいうぉんとりゔぇんじ	I Want Revenge	noun	アイウォントリヴェンジ
あいおぶざたいがー	Eyeofthetiger	noun	アイオブザタイガー
あいこんぷろじぇくと	Icon Project	noun	アイコンプロジェクト
あいすくりーむゆーすくりーむ	Iscreamuscream	noun	アイスクリームユースクリーム
あいすちゃりおっと	Ice Chariot	noun	アイスチャリオット
あいすばす	Icebath	noun	アイスバス
あいすぶりーず	Ice Breeze	noun	アイスブリーズ
あいすぼっくす	Ice Box	noun	アイスボックス
あいてむ	Item	noun	アイテム
あいどぅ	I Do	noun	アイドゥ
あいどる	Idol	noun	アイドル
あいばんほう	Ivanhowe	noun	アイバンホウ
あいばー	Ivar	noun	アイバー
あいびくとりー	Ivictory	noun	アイビクトリー
あいびりーぶいんゆー	I Believe in You	noun	アイビリーブインユー
あいびりーゔいんゆー	I Believe in You	noun	アイビリーヴインユー
あいまどりーまー	I'm A Dreamer	noun	アイマドリーマー
あいむあちゃたーぼっくす	I'm a Chatterbox	noun	アイムアチャターボックス
あいむさんだーすとらっく	I'm Thunderstruck	noun	アイムサンダーストラック
あいむざたいがー	I'm the Tiger	noun	アイムザタイガー
あいらぶじすしてぃ	Ilovethiscity	noun	アイラブジスシティ
あいらんどさんず	Island Sands	noun	アイランドサンズ
あいらんどさんど	Island Sand	noun	アイランドサンド
あいらんどふぁっしょん	Island Fashion	noun	アイランドファッション
あいらゔじすしてぃ	Ilovethiscity	noun	アイラヴジスシティ
あいりっしゅだーりんぐ	Irish Darling	noun	アイリッシュダーリング
あいりっしゅちゃんす	Irish Chance	noun	アイリッシュチャンス
あいりっしゅふりんぐ	Irish Fling	noun	アイリッシュフリング
あいりっしゅぷらいず	Irish Prize	noun	アイリッシュプライズ
あいりっしゅらいつ	Irish Lights	noun	アイリッシュライツ
あいりーんどぅー	Eileen Dubh	noun	アイリーンドゥー
あいるはぶあなざー	I'll Have Another	noun	アイルハブアナザー
あいるはゔあなざー	I'll Have Another	noun	アイルハヴアナザー
